feature,importance
numeric__total_hours_worked,0.09922729484176351
categorical__size_3,0.08628782671817456
numeric__annual_average_employees,0.07842028078350434
categorical__size_1,0.04703679861357037
numeric__naics_code,0.04154915757155531
categorical__establishment_type_Unknown,0.031052716045799914
categorical__size_2,0.025481753175834482
categorical__state_MA,0.0158631116322775
categorical__industry_description_Supermarkets and Other Grocery (except Convenience) Stores,0.01445267670945159
categorical__establishment_type_1.0,0.012426087981843041
"categorical__industry_description_ General freight trucking, long-distance, truckload (TL)",0.011158382310696309
categorical__industry_description_Road construction,0.010622910425993752
"categorical__industry_description_ General freight trucking, local",0.00992076193859767
categorical__industry_description_Hardware Merchant Wholesalers,0.009374565667949766
categorical__industry_description_Office Equipment,0.008561325915985754
"categorical__industry_description_ Trucking, general freight, long-distance, truckload (TL)",0.00804540937331871
categorical__state_OR,0.007864891411977963
categorical__industry_description_Skilled nursing facilities,0.007003844722317291
categorical__industry_description_Less Than Truckload General Freight Trucking,0.006987845121553958
categorical__industry_description_Retail Other,0.006696849569255609
categorical__industry_description_Freight Trucking LTL,0.006567109191204334
categorical__industry_description_Retail,0.006380781509941731
categorical__industry_description_Warehouse clubs and supercenters,0.006253939298287392
categorical__state_TX,0.0060391499487245995
categorical__state_TN,0.005859719327370679
categorical__industry_description_Homecenter,0.005141198452559864
categorical__state_MI,0.004975341582164792
"categorical__industry_description_ Flagging (i.e., traffic control) services",0.004856355299578536
categorical__industry_description_Nursing homes,0.004427782729346032
categorical__state_CT,0.004260108911048531
categorical__establishment_type_2.0,0.004078958642252759
categorical__state_SC,0.004078887140527154
categorical__state_HI,0.003995165240315175
categorical__industry_description_Coin Laundry Route Business,0.0039276006983957595
"categorical__industry_description_ Tanker trucking (e.g., chemical, juice, milk, petroleum), long-distance",0.0038937103226001912
"categorical__industry_description_ Tanker trucking (e.g., chemical, juice, milk, petroleum), local",0.0036314638563694716
categorical__state_MD,0.003550912608902773
categorical__industry_description_PVC pipe manufacturing,0.0035188130770965153
categorical__industry_description_Supermarkets and other grocery (except convenience) stores,0.003428085074781998
"categorical__industry_description_Trucking, general freight, long-distance, truckload (TL)",0.003234684451318911
categorical__industry_description_Food Service Contractors,0.0032088987991517846
categorical__industry_description_Highway construction,0.003180238722581713
categorical__industry_description_Unknown,0.0031431265957197834
categorical__industry_description_ Bridge construction,0.002966403604477084
categorical__state_MT,0.002944253117520674
categorical__industry_description_ Skilled nursing facilities,0.0028865885495707316
categorical__state_WI,0.002869010403493302
categorical__state_ME,0.002826190633406106
"categorical__industry_description_ Lubricating oils and greases, synthetic, manufacturing",0.002824063768270164
categorical__industry_description_Police departments (except American Indian or Alaska Native),0.0028145124137379596
categorical__industry_description_Supermrkts & other grocery stores,0.002813150967414216
categorical__industry_description_ Roofing contractors,0.0027082160205129492
categorical__industry_description_ Hotels (except casino hotels),0.00270338642216879
categorical__industry_description_Truck Trailer Manufacturing,0.002654582058591242
"categorical__industry_description_ Utility line (i.e., sewer, water), construction",0.0026401597628050205
categorical__industry_description_ Nursing homes,0.002462952943425847
categorical__establishment_type_3.0,0.0024121504455755713
categorical__state_OH,0.0023850312645487402
categorical__state_ga,0.002294568755130317
categorical__industry_description_Concrete form contractors,0.0022760347439165175
categorical__industry_description_ Electrical contractors,0.0022703375531826523
categorical__industry_description_ Prefabricated commercial building erection,0.0022640318293159264
categorical__state_CA,0.002217012479873321
categorical__industry_description_Stevedoring services,0.0022100355124584446
categorical__industry_description_ Building demolition,0.002195996936357751
"categorical__industry_description_Specialized Freight (except Used Goods) Trucking, Local",0.0021834704349575694
"categorical__industry_description_Trusses, wood roof or floor, manufacturing",0.00218247616095347
categorical__state_VA,0.0021526992426134798
"categorical__industry_description_General freight trucking, long-distance, less-than-truckload (LTL)",0.00215128997394412
"categorical__industry_description_General freight trucking, long-distance, truckload (TL)",0.0020676365773999454
categorical__industry_description_Retail/Home Furnishings,0.0020670762077387604
categorical__state_OK,0.00206420067726466
categorical__industry_description_Oil and Gas Field Services,0.0020416633494108535
categorical__state_MO,0.002032235878281897
"categorical__industry_description_ Pothole filling, highway, road, street or bridge",0.0020185359795609954
categorical__state_DE,0.0020172079181426526
categorical__industry_description_ General medical and surgical hospitals,0.0019898435666909327
"categorical__industry_description_ Residential construction, multifamily, general contractors",0.00198430717651526
categorical__state_MN,0.0019683278680266373
categorical__industry_description_ Stevedoring services,0.0019457215308946731
"categorical__industry_description_ Bulk mail truck transportation, contract, long-distance (TL)",0.0019111494485457702
"categorical__industry_description_Courier Services, Except by Air",0.0019101076253697966
"categorical__industry_description_ Addition, alteration and renovation general contractors, commercial and institutional building",0.0018865179928144596
categorical__industry_description_Utility Company,0.0018823362970039304
categorical__industry_description_Industrial launderers,0.001879889140562026
"categorical__industry_description_ Masonry pointing, cleaning or caulking",0.0018431022506764558
categorical__industry_description_Marine Cargo Handling,0.0017951399070783062
"categorical__industry_description_ Bulk liquids trucking, long-distance",0.0017829430438478016
"categorical__industry_description_ Repair, highway, road, street, bridge or airport runway",0.0017827041166208746
categorical__industry_description_ Masonry contractors,0.0017765089833687259
categorical__industry_description_Roofing contractors,0.0017619371258758318
categorical__industry_description_Freight Transportation,0.0017401222844471926
categorical__industry_description_Mining machinery and equipment repair and maintenance services,0.001712414330167813
"categorical__industry_description_ Bathtubs, plastics, manufacturing",0.001705380108927674
categorical__state_AR,0.0016975524442418865
categorical__state_WV,0.0016934333208645817
"categorical__industry_description_ Beverage containers, glass, manufacturing",0.0016872155662681979
categorical__industry_description_Contract Carrier Crew Transportation,0.0016814577394452382
categorical__industry_description_ Acid plant construction,0.001679090376293127
"categorical__industry_description_Addition, alteration and renovation general contractors, commercial and institutional building",0.0016718396242118203
"categorical__industry_description_ Outpatient treatment centers and clinics (except hospitals) for substance abuse (i.e., alcoholism, drug addiction)",0.0016543193097803576
categorical__industry_description_Garbage collection services,0.001643082991165547
categorical__industry_description_Tube made by drawing or extruding purchased aluminum,0.001631821947127808
categorical__industry_description_Erecting structural steel,0.0016047591537078386
categorical__state_NC,0.0015989022172912322
categorical__industry_description_Retail Store,0.0015946315433593733
categorical__industry_description_Other nonhazardous waste treatment and disposal,0.0015862888875461001
categorical__industry_description_General medical and surgical hospitals,0.0015738940986457235
categorical__industry_description_ Bridge painting,0.0015630035553467576
categorical__state_MS,0.0015552436910931634
categorical__industry_description_Crane rental with operator,0.0015487206589240498
categorical__industry_description_ Traffic signal installation,0.0015263535979565016
categorical__industry_description_ Ready-mix concrete manufacturing and distributing,0.0015038668353740188
"categorical__industry_description_ Container trucking services, long-distance (TL)",0.001502346715610694
categorical__state_NM,0.0014964707428655366
"categorical__industry_description_ Beans, dry, merchant wholesalers",0.001482576240426529
categorical__industry_description_ Road construction,0.0014808222834536188
"categorical__industry_description_ Warehousing (including foreign trade zones), general merchandise",0.0014793848508850424
"categorical__industry_description_ Home builders, for-sale",0.001470352011805394
categorical__industry_description_Canning fruits and vegetables,0.0014486105939582126
categorical__industry_description_Support Activities for Oil and Gas Operations,0.001434423410068206
categorical__state_GA,0.001429719684590641
"categorical__industry_description_,",0.00140521171385002
categorical__industry_description_ Fruit and tree nut combination farming,0.001404627193594397
categorical__state_RI,0.0014002150403395522
categorical__industry_description_ Computer and network cable installation,0.0013835101431429364
categorical__industry_description_Anodizing metals and metal products for the trade,0.001367638942529658
categorical__industry_description_Site Preparation Contractors,0.0013672934563676935
categorical__industry_description_ Ship repair done in a shipyard,0.0013641604800789988
categorical__industry_description_ Landscape care and maintenance services,0.001339780052197049
categorical__industry_description_ Foam polystyrene products manufacturing,0.0013367887282176416
categorical__industry_description_ Dairy cattle farming,0.0013319830748374257
categorical__industry_description_Hydroelectric power generation,0.0013291437495255762
"categorical__industry_description_ Garbage hauling, local",0.0013254015153326545
categorical__industry_description_Construction,0.001322583920063804
categorical__state_FL,0.0013172445656383343
categorical__industry_description_ Naval ship building,0.0012956673557582082
categorical__state_NY,0.0012919524056176582
categorical__industry_description_Grocery stores,0.0012839167266159477
categorical__industry_description_Sewage treatment plants or facilities,0.0012726270763742428
categorical__industry_description_ General warehousing and storage,0.0012690752381799078
categorical__industry_description_ Iron foundries,0.0012468653264377677
categorical__industry_description_Distribution of electric power,0.0012417875587410628
"categorical__industry_description_ Cranes, overhead traveling, manufacturing",0.0012281822955277366
"categorical__industry_description_ Chicken eggs (table, hatching) production",0.0012238865042590527
categorical__state_NV,0.001214150283842009
"categorical__industry_description_ Ambulance services, air or ground",0.00120592746863117
categorical__industry_description_Resort hotels with casinos,0.0012048088624517187
categorical__industry_description_Alloy steel manufacturer,0.0011915194487429324
"categorical__industry_description_ Construction management, power and communication transmission line",0.00118031525370971
categorical__state_WA,0.0011781876553939592
"categorical__industry_description_ Automobile dealers, new only or new and used",0.0011474392348342385
categorical__industry_description_ Painting and wallpapering,0.0011470330416087204
"categorical__industry_description_ Commercial printing (except screen, books)",0.0011424450342521464
categorical__industry_description_ Grocery stores,0.001140926385348468
categorical__state_LA,0.0011342629245905827
categorical__industry_description_Aluminum coating of metal products for the trade,0.001125101286290333
categorical__industry_description_Drywall installation,0.0011232663231228205
categorical__state_CO,0.0011166699199491252
