feature,importance
numeric__total_hours_worked,0.12103034113961353
categorical__size_3,0.08707945153587256
numeric__annual_average_employees,0.06897817158927255
categorical__size_1,0.06196503239034873
numeric__naics_code,0.0508955573377037
categorical__establishment_type_Unknown,0.03112489623828698
categorical__size_2,0.02226552647753712
categorical__state_ma,0.015990473302375612
categorical__establishment_type_1.0,0.015495482096905685
categorical__industry_description_supermarketsothergroceryexceptconveniencestores,0.014132290844722886
categorical__industry_description_skillednursingfacilities,0.01290486868565423
categorical__industry_description_truckinggeneralfreightlongdistancetruckloadtl,0.012495709760021678
categorical__industry_description_warehouseclubssupercenters,0.011681111317178418
categorical__industry_description_freighttruckingltl,0.011213097743616875
categorical__industry_description_officeequipment,0.01014967068975
categorical__industry_description_roadconstruction,0.009817311269566378
categorical__industry_description_generalfreighttruckinglocal,0.009396854096134805
categorical__industry_description_retail,0.009210756395057274
categorical__industry_description_hardwaremerchantwholesalers,0.00881148663746831
categorical__industry_description_generalfreighttruckinglongdistancetruckloadtl,0.008741707643986813
categorical__industry_description_retailother,0.008180232748151819
categorical__state_ct,0.00721416225455387
categorical__industry_description_pvcpipemanufacturing,0.006267379804864915
categorical__industry_description_nursinghomes,0.006233301359068989
categorical__state_tn,0.006227384843058483
categorical__industry_description_lesstruckloadgeneralfreighttrucking,0.005845929288508912
categorical__state_tx,0.004710223232372891
categorical__state_Unknown,0.004591017776666391
categorical__industry_description_homecenter,0.004563099476566211
categorical__industry_description_generalfreighttruckinglongdistancelesstruckloadltl,0.004311699100212557
categorical__state_mt,0.00428365594431844
categorical__industry_description_flaggingetrafficcontrolservices,0.004266281132279856
categorical__industry_description_coinlaundryroutebusiness,0.004251640497140085
categorical__state_sc,0.0036071300588980688
categorical__establishment_type_2.0,0.0033598538059787537
categorical__industry_description_bulkmailtrucktransportationcontractlongdistancetl,0.0030646993470026074
categorical__industry_description_warehousingincludingforeigntradezonesgeneralmerchandise,0.0030219871752956012
categorical__industry_description_tankertruckingegchemicaljuicemilkpetroleumlocal,0.0029811133201449623
categorical__industry_description_concreteformcontractors,0.002908677565600495
categorical__industry_description_supermrktsothergrocerystores,0.0028605458622577144
categorical__industry_description_tankertruckingegchemicaljuicemilkpetroleumlongdistance,0.0027585833237419666
categorical__industry_description_stevedoringservices,0.002723954514597655
categorical__state_mi,0.0026782283102023013
categorical__industry_description_structuralsteelerectingironworkcontractors,0.00264946810715292
categorical__industry_description_statepolice,0.002638004734009089
categorical__industry_description_truckinggeneralfreightlocal,0.002633259257471404
categorical__state_nh,0.002586702584958862
categorical__state_hi,0.0024608809654952045
categorical__industry_description_roofingcontractors,0.0022507093870067895
categorical__state_ny,0.0022445022686317317
categorical__state_ca,0.002243260050921678
categorical__industry_description_Unknown,0.002223710787306848
categorical__industry_description_retailhomefurnishings,0.002217114932831341
categorical__industry_description_highwayconstruction,0.002174518782775718
categorical__state_co,0.0021503535711818577
categorical__industry_description_loadingunloadingservicesportsharbors,0.002112724120432569
categorical__state_la,0.002107586183278783
categorical__industry_description_assistedlivingfacilitiessitenursingcarefacilities,0.002083865487496796
categorical__industry_description_rigginglargescaleequipment,0.002080892466259904
categorical__industry_description_hotelsexceptcasinohotels,0.0020646424954918335
categorical__industry_description_hotelsexceptcasinohotelsgolfcoursestenniscourtsotherhealthspafacilitieseresorts,0.002019619743718872
categorical__industry_description_windpowerstructureconstruction,0.0019724880963778355
categorical__industry_description_assistedlivingfacilitiessitenursingfacilities,0.001964744110109663
categorical__state_ks,0.001950516736279639
categorical__industry_description_canneryseafood,0.0019404499001690768
categorical__state_mn,0.0019172792317946707
categorical__state_oh,0.0018943409776017886
categorical__industry_description_propertymanagingresidentialrealestate,0.0018670605517454467
categorical__state_nc,0.0018665703871297045
categorical__industry_description_distributionelectricpower,0.00182709580417532
categorical__state_mo,0.0018227929736120449
categorical__industry_description_grocerystores,0.0018199755998187545
categorical__industry_description_fooddistribution,0.0017781458819662518
categorical__establishment_type_3.0,0.001771538796566022
categorical__state_ri,0.001764355202135197
categorical__industry_description_alcoholicbeveragewinedistilledspiritsmerchantwholesaler,0.0017237385271545661
categorical__industry_description_lawenforcement,0.0017146499795286773
categorical__state_az,0.001675778466480699
categorical__industry_description_hammerforgingsmadepurchasedironsteelunfinished,0.001660042118032064
categorical__industry_description_pumpingoilgaswellscontractbasis,0.0016490051414535258
categorical__industry_description_constructionmanagementhighwayroadstreetbridge,0.0016150269112048265
categorical__state_ok,0.0016077860439606092
categorical__industry_description_lowvoltageelectricalwork,0.0016049213443770202
categorical__state_md,0.0015895405642276093
categorical__industry_description_boltsnutsrivetsplasticsmanufacturing,0.0015785658665199017
categorical__industry_description_ironcastingsunfinishedmanufacturing,0.0015676963934912148
categorical__industry_description_lubricatingoilsgreasessyntheticmanufacturing,0.0015663045909669517
categorical__state_wv,0.0015585202027750215
categorical__industry_description_masonrycontractors,0.0015328174713618518
categorical__industry_description_discountdepartmentstores,0.0015141061111655961
categorical__industry_description_doorsdoorframesplasticsmanufacturing,0.0015088073889484358
categorical__industry_description_miningmachineryequipmentrepairmaintenanceservices,0.001497185461974516
categorical__industry_description_potholefillinghighwayroadstreetbridge,0.001471278351363038
categorical__industry_description_buildinglotsubdividing,0.0014676026134409434
categorical__industry_description_aircowlssheetmetalexceptstampingsmanufacturing,0.0014588462283688533
categorical__industry_description_utilitylineesewerwaterconstruction,0.0014446738112756253
categorical__industry_description_officemanagementservices,0.001441993547335786
categorical__industry_description_boatdealers,0.0014410185806733105
categorical__industry_description_constructionmanagementpowercommunicationtransmissionline,0.001428364275471419
categorical__industry_description_janitorialservices,0.0014280301431695832
categorical__industry_description_foampolystyreneproductsmanufacturing,0.0014226251776817335
categorical__industry_description_aluminumcoatingmetalproductstrade,0.0014209197247198812
categorical__industry_description_homehealthcareagencies,0.0014189256025218203
categorical__state_wi,0.0014027976788879204
categorical__industry_description_fooddistributionwarehouse,0.0014016635682825606
categorical__industry_description_boilerheatinginstallation,0.0013958221668362014
categorical__industry_description_alternativefuelsdirectselling,0.001394756239230583
categorical__state_nm,0.001384139079288057
categorical__industry_description_computernetworkcableinstallation,0.0013728565097003973
categorical__industry_description_pumpingstationwatersewagesystemconstruction,0.001357085620979525
categorical__industry_description_retailstore,0.001349185031856784
categorical__industry_description_transportationotr,0.0013455765188784164
categorical__state_pa,0.0013310934606515384
categorical__industry_description_pollockfishing,0.0013280392630752578
categorical__industry_description_watersewerlinerelatedstructuresconstruction,0.0013241226554456514
categorical__industry_description_automobilesassemblingchassisownmanufacture,0.001312106525563096
categorical__industry_description_bathtubsplasticsmanufacturing,0.0012958219685463043
categorical__state_ia,0.0012956478831145923
categorical__industry_description_sewagetreatmentplantsfacilities,0.0012614293015974108
categorical__industry_description_licensingtransportationequipmentfacilitiesservices,0.0012463970904717653
categorical__industry_description_othernonhazardouswastetreatmentdisposal,0.001244365510903904
categorical__industry_description_readymixconcretemanufacturingdistributing,0.0012432394293374945
categorical__state_va,0.001216695306565765
categorical__industry_description_distributionlinesewerwaterconstruction,0.0012075584092410164
categorical__industry_description_supermarkets,0.0012038054854176627
categorical__industry_description_policedepartmentsexceptamericanindianalaskanative,0.0011975058587317927
categorical__industry_description_additionalterationrenovationgeneralcontractorscommercialinstitutionalbuilding,0.001195230032473535
categorical__industry_description_insurancecarrierspropertycasualtydirect,0.0011774399652523687
categorical__industry_description_intellectualdevelopmentaldisabilityfacilitieseghomeshospitalsintermediatecarefacilitiesresidential,0.0011750030776174372
categorical__state_fl,0.0011727802776959507
categorical__industry_description_metalmotorvehiclebodypartsstamping,0.0011702175486349102
categorical__industry_description_truckbodiesassemblingpurchasedchassis,0.001159557710727301
categorical__industry_description_electricalcontractors,0.0011549215565642588
categorical__industry_description_panelssoftwoodplywoodmanufacturing,0.0011536859342861834
categorical__industry_description_aluminumcastingsexceptdiecastingsunfinishedmanufacturing,0.0011490607972755142
categorical__industry_description_foodservicecontractors,0.0011322378599455817
categorical__industry_description_supermarket,0.0011305538693214597
categorical__industry_description_grouphomesintellectualdevelopmentaldisability,0.001125900322060191
categorical__industry_description_fullservicerestaurants,0.001118216543493787
categorical__industry_description_sitepreparationcontractors,0.0011159466118577416
categorical__industry_description_repairhighwayroadstreetbridgeairportrunway,0.0011049773108228603
categorical__industry_description_automobiledealersnewonlynewused,0.001066838762677022
categorical__industry_description_heavytrucksassemblingchassisownmanufacture,0.0010577232913203858
categorical__industry_description_motorvehiclemerchantwholesalers,0.0010542657583024508
categorical__industry_description_oilrefineryconstruction,0.001044640034461643
categorical__industry_description_servicesfacilitiessupport,0.0010407808363658492
categorical__industry_description_freighttransportation,0.001030931460528456
categorical__industry_description_dehydratingpotatoproductsegflakesgranules,0.0010192097637671857
categorical__industry_description_erectingstructuralsteel,0.0010151828945263687
categorical__industry_description_architecturalwallpanelsprecastconcretemanufacturing,0.0010150242670865619
categorical__industry_description_backfillingconstruction,0.0010149628385919365
categorical__industry_description_dimensionlumberhardwoodmadelogsbolts,0.0010101873596464579
categorical__industry_description_agriculturalchemicalsmerchantwholesalers,0.0009977158203914678
categorical__industry_description_oilgasfieldservices,0.0009972155122467475
categorical__state_ga,0.0009748382168511032
categorical__industry_description_treebrushtrimmingoverheadutilityline,0.0009742265543775788
categorical__industry_description_construction,0.0009708163612671427
categorical__state_ar,0.0009705794864162297
categorical__industry_description_transportationwarehousing,0.0009691023633555984
categorical__state_ky,0.0009583377441343338
categorical__industry_description_commercialbuildingconstructiongeneralcontractors,0.0009574843679305297
categorical__industry_description_beefproducedslaughteringplants,0.0009548377778264213
categorical__industry_description_bulkliquidstruckinglongdistance,0.0009542691927662396
categorical__industry_description_hotels,0.0009486852702270288
categorical__industry_description_shiprepairdoneshipyard,0.0009424701694919524
categorical__industry_description_bridgeconstruction,0.0009378787246045268
categorical__industry_description_oilpipelineconstruction,0.0009368306253667299
categorical__industry_description_generalwarehousingstorage,0.000936604244579184
categorical__industry_description_coalhaulingtrucklocal,0.0009328266454557634
categorical__industry_description_alloysteelmanufacturer,0.0009299393129288849
categorical__industry_description_compressormeteringpumpingstationgasoilpipelineconstruction,0.0009271200176301889
categorical__industry_description_garbagecollectionservices,0.0009240698270678028
categorical__industry_description_barrelheadingstavesmanufacturing,0.000922039086036664
categorical__industry_description_freshfruitsvegetablesberriesmerchantwholesalers,0.0009099028822681445
categorical__industry_description_telecommunicationscarrierswired,0.000908037433830377
categorical__industry_description_refusecollectionservices,0.0009053780492667707
categorical__industry_description_containertruckingserviceslongdistancetl,0.0008983878733001776
categorical__industry_description_ashcollectionservices,0.0008963376160312054
categorical__industry_description_furniturestoreseghouseholdofficeoutdoor,0.0008884935920420285
categorical__industry_description_buildinginspectionsgovernment,0.0008883758347521045
categorical__industry_description_motorvehiclemetalpartsstamping,0.0008838037181332868
categorical__industry_description_navalshipbuilding,0.0008786430748934184
categorical__industry_description_marinecargohandling,0.0008745514954317989
categorical__industry_description_generalmedicalsurgicalhospitals,0.0008661250163180072
categorical__industry_description_courierservicesexceptair,0.0008653778777806458
categorical__industry_description_grainfieldbeanmerchantwholesalers,0.0008644783246807346
categorical__industry_description_industrialchemicalsmerchantwholesalers,0.0008619131271533294
categorical__industry_description_trucktrailermanufacturing,0.0008590684632835562
categorical__state_id,0.0008474000680031355
categorical__industry_description_marinecargohandlingservices,0.0008447845370304381
categorical__industry_description_centralmixedconcretemanufacturing,0.0008412695983430271
categorical__industry_description_beveragesalcoholicexceptdistilledspiritswinemerchantwholesalers,0.0008313386786909144
categorical__industry_description_automobilecarriertruckinglongdistance,0.0008290783681698625
categorical__industry_description_automotivepartsaccessoriesstores,0.0008283125635470625
categorical__industry_description_couriersexpressdeliveryservices,0.0008245816833105814
categorical__industry_description_acidoilsmadepetroleumrefineries,0.000822656163043288
categorical__industry_description_ironfoundries,0.0008226256057226068
categorical__industry_description_paintingwallpapering,0.0008127936387918421
categorical__industry_description_specializedfreightexceptusedgoodstruckinglocal,0.0008122582444766243
categorical__industry_description_convalescenthomesconvalescenthospitalsexceptpsychiatric,0.0008108909176840405
categorical__industry_description_bagopeningfillingclosingmachinesmanufacturing,0.0008104296083320143
categorical__industry_description_lifttrucksindustrialmerchantwholesalers,0.0008066960424254813
categorical__industry_description_ironworkstructuralcontractors,0.000804700168307429
categorical__state_pr,0.0008028637684514401
categorical__state_nj,0.0007945187121873598
categorical__industry_description_streetconstruction,0.0007895354531968014
categorical__industry_description_beveragecontainersglassmanufacturing,0.0007872262008475347
categorical__industry_description_hospitalsgeneralmedicalsurgical,0.0007812648928363522
categorical__industry_description_generalpublicadministration,0.0007763126092755366
categorical__industry_description_healthinsurancecarriersdirect,0.0007749997025997407
categorical__industry_description_bakeryproductsdryegbiscuitscookiescrackersmanufacturing,0.0007706756056743172
categorical__industry_description_naturalsciencemuseums,0.0007685648834937223
categorical__industry_description_containertruckingserviceslocal,0.0007656181265063588
categorical__industry_description_treetrimmingservices,0.0007646917570137006
categorical__industry_description_grassmowingequipmentpoweredlawngardenmanufacturing,0.0007641508705750162
categorical__industry_description_caissonedrilledbuildingfoundationsconstruction,0.0007636487648513863
categorical__state_il,0.0007607230215867128
categorical__industry_description_beansdrymerchantwholesalers,0.0007604444134764594
categorical__industry_description_landscapecaremaintenanceservices,0.0007531736694519793
categorical__industry_description_airambulanceservices,0.0007509573820365
categorical__industry_description_automobileauctionswholesale,0.0007384021101495769
categorical__industry_description_airconditioningwarmairheatingcombinationunitsmanufacturing,0.0007378927193299431
categorical__state_de,0.0007329965236053444
categorical__industry_description_bulkstoragetanksheavygaugemetalmanufacturing,0.0007297007004333314
categorical__industry_description_automobileothermotorvehiclemerchantwholesalers,0.0007274335046095248
categorical__industry_description_railroadcarscarequipmentmanufacturing,0.0007272282606239751
