feature,importance
numeric__total_hours_worked,0.029446319
categorical__industry_description_hotelsexceptcasinohotels,0.028442238
categorical__industry_description_distributionelectricpower,0.027340379
categorical__industry_description_supermarketsothergroceryexceptconveniencestores,0.026066782
categorical__state_KY,0.024138376
numeric__naics_code,0.022298558
categorical__state_OK,0.022008596
categorical__state_WA,0.021873977
categorical__state_WI,0.020957222
categorical__establishment_type_2.0,0.020804612
categorical__state_IL,0.020476915
categorical__industry_description_supermarket,0.018928146
categorical__industry_description_janitorialservices,0.018383523
categorical__state_MA,0.018188318
categorical__state_TN,0.01813182
categorical__state_AR,0.01804182
categorical__industry_description_discountdepartmentstores,0.017837342
categorical__industry_description_grocerystores,0.017768253
categorical__state_OH,0.017670205
categorical__state_CO,0.01764287
categorical__state_PA,0.017639445
categorical__state_AL,0.017591089
categorical__state_MO,0.017233165
categorical__state_CT,0.016608775
categorical__state_AZ,0.016556319
categorical__state_CA,0.016505158
categorical__state_MN,0.01633484
categorical__industry_description_courierservicesexceptair,0.016310774
categorical__state_LA,0.015730655
categorical__industry_description_infrequent_sklearn,0.015395926
categorical__state_MS,0.015364172
categorical__state_NY,0.0151830325
categorical__industry_description_supermarkets,0.015095701
numeric__annual_average_employees,0.014917448
categorical__state_VA,0.014432251
categorical__state_MI,0.014253973
categorical__state_NJ,0.014207849
categorical__industry_description_miscellaneousretailstoresnec,0.014072942
categorical__state_IA,0.013946236
categorical__state_NC,0.013514798
categorical__state_FL,0.013443037
categorical__industry_description_hospitalsgeneralmedicalsurgical,0.013388376
categorical__state_infrequent_sklearn,0.01330065
categorical__state_TX,0.013070716
categorical__establishment_type_Operating,0.013017678
categorical__state_GA,0.012716457
categorical__industry_description_retail,0.012509743
categorical__state_KS,0.012494582
categorical__industry_description_assistedlivingfacilitiessitenursingcarefacilities,0.012475246
categorical__industry_description_warehouseclubssupercenters,0.012251675
categorical__industry_description_homecenter,0.012191211
categorical__industry_description_generalwarehousingstorage,0.012122636
categorical__industry_description_Oil and Gas Extraction,0.0121018635
categorical__industry_description_skillednursingfacilities,0.011241412
categorical__size_3,0.0107287895
categorical__size_1,0.01072738
categorical__establishment_type_3.0,0.010718435
categorical__establishment_type_1.0,0.01064865
categorical__size_100 to 249,0.010396942
categorical__industry_description_generalmedicalsurgicalhospitals,0.010161667
categorical__size_2,0.00810859
categorical__industry_description_supermrktsothergrocerystores,0.0076921224
categorical__industry_description_nursinghomes,0.0071513397
categorical__industry_description_assistedlivingfacilitiessitenursingfacilities,0.0
categorical__size_1 to 49,0.0
categorical__industry_description_retailstore,0.0
categorical__industry_description_retailother,0.0
categorical__industry_description_foodservicecontractors,0.0
categorical__industry_description_hardwaremerchantwholesalers,0.0
categorical__industry_description_grouphomesintellectualdevelopmentaldisability,0.0
categorical__industry_description_officeequipment,0.0
categorical__industry_description_retailhomefurnishings,0.0
