annual_average_employees,total_hours_worked,naics_code,industry_description,establishment_type,size,state,fatal_incident,source
280,579688.0,238220,heatingventilationairconditioninghvaccontractors,1.0,3,PA,0,OSHA_ITA_2016
246,501578.0,336612,pleasureboatsmanufacturing,1.0,3,TX,0,OSHA_ITA_2016
273,619945.0,336370,motorvehiclemetalpartsstamping,1.0,3,IA,0,OSHA_ITA_2016
33,75794.0,336612,pleasureboatsmanufacturing,1.0,2,TX,0,OSHA_ITA_2016
43,114734.0,336612,pleasureboatsmanufacturing,1.0,2,RI,0,OSHA_ITA_2016
90,135507.0,238120,reinforcingsteelcontractors,1.0,2,MD,0,OSHA_ITA_2016
35,65092.0,321114,polesroundwoodcuttingtreating,1.0,2,AL,0,OSHA_ITA_2016
51,118149.0,484220,truckingspecializedfreightexceptusedgoodslocal,1.0,2,MI,0,OSHA_ITA_2016
44,76296.0,238220,plumbingheatingcontractors,1.0,2,NY,0,OSHA_ITA_2016
48,83565.0,332410,boilerspowermanufacturing,1.0,2,MI,0,OSHA_ITA_2016
403,920641.0,237310,constructionmanagementhighwayroadstreetbridge,1.0,3,NJ,0,OSHA_ITA_2016
13,4466.0,238110,foundationbuildingpouredconcretecontractors,1.0,1,NJ,0,OSHA_ITA_2016
49,201239.0,541330,constructionengineeringservices,1.0,2,NJ,0,OSHA_ITA_2016
57,88639.0,237130,constructionmanagementpowercommunicationtransmissionline,1.0,2,NJ,0,OSHA_ITA_2016
792,1171279.0,721110,hotelsresortcasinos,1.0,3,NH,0,OSHA_ITA_2016
89,196486.0,311421,canningjamsjellies,1.0,2,GA,0,OSHA_ITA_2016
120,248643.0,238220,mechanicalcontractors,1.0,2,FL,0,OSHA_ITA_2016
82,119409.0,238160,lowsloperoofinginstallation,1.0,2,OK,0,OSHA_ITA_2016
77,204315.0,238220,plumbingcontractors,1.0,2,FL,0,OSHA_ITA_2016
49,97000.0,441110,automobiledealersnewonlynewused,1.0,2,PA,0,OSHA_ITA_2016
32,72000.0,332322,roofingsheetmetalexceptstampingsmanufacturing,1.0,2,FL,0,OSHA_ITA_2016
35,80423.0,238210,electricalcontractors,1.0,2,AL,0,OSHA_ITA_2016
1682,3196450.0,326211,tiresegpneumaticsemipneumaticsolidrubbermanufacturing,1.0,3,TX,0,OSHA_ITA_2016
66,129951.0,238320,paintingwallpapering,1.0,2,VA,0,OSHA_ITA_2016
610,1268800.0,423430,computerperipheralequipmentmerchantwholesalers,1.0,3,PA,0,OSHA_ITA_2016
106,254663.0,333612,gearmotorsepowertransmissionequipmentmanufacturing,1.0,2,KY,0,OSHA_ITA_2016
108,202620.0,238310,drywallcontractors,1.0,2,NV,0,OSHA_ITA_2016
18,28112.0,238290,escalatorinstallation,1.0,1,NJ,0,OSHA_ITA_2016
2910,6063894.0,541711,biotechnologyresearchdevelopmentlaboratoriesservices,1.0,3,NY,0,OSHA_ITA_2016
7,10933.0,238290,escalatorinstallation,1.0,1,FL,0,OSHA_ITA_2016
65,166000.0,238160,roofingcontractors,1.0,2,TN,1,OSHA_ITA_2016
234,365459.0,454390,canvassersdoordoorheadquartersretailsalemerchandisedirectselling,1.0,2,FL,0,OSHA_ITA_2016
329,700676.0,332721,precisionturnedproductmanufacturing,1.0,3,OH,0,OSHA_ITA_2016
60,93708.0,454390,canvassersdoordoorheadquartersretailsalemerchandisedirectselling,1.0,2,FL,0,OSHA_ITA_2016
90,193013.0,561730,arboristservices,1.0,2,MA,0,OSHA_ITA_2016
16,30671.0,332710,machineshops,1.0,1,IA,0,OSHA_ITA_2016
240,374830.0,454390,canvassersdoordoorheadquartersretailsalemerchandisedirectselling,1.0,2,FL,0,OSHA_ITA_2016
329,700662.0,325211,petroleumpolymerresinsmanufacturing,1.0,3,IA,0,OSHA_ITA_2016
47,99202.0,325199,siliconeexceptresinsmanufacturing,1.0,2,IL,0,OSHA_ITA_2016
234,541857.0,331110,armorplatemadeironsteelmills,1.0,3,MS,0,OSHA_ITA_2016
130,295704.0,236220,commercialbuildingconstruction,1.0,2,IA,0,OSHA_ITA_2016
60,121840.0,325611,handsoapseghardliquidsoftmanufacturing,1.0,2,MD,0,OSHA_ITA_2016
79,164436.0,238220,plumbingheatingcontractors,1.0,2,SD,0,OSHA_ITA_2016
88,191438.0,551114,corporateoffices,1.0,2,KY,0,OSHA_ITA_2016
222,475733.0,311999,pancakesyrupsexceptpuremaplemanufacturing,1.0,2,IL,0,OSHA_ITA_2016
98,173221.0,721110,hotelsexceptcasinohotels,1.0,2,KY,0,OSHA_ITA_2016
364,307648.0,551114,corporateoffices,1.0,3,SD,0,OSHA_ITA_2016
